,Optimiser,Optimiser_code,sample_rotation_angle1,sample_rotation_angle2,src_pos_x,src_pos_y,src_pos_z,det_pos_x,det_pos_y,det_pos_z,DZNCC,MAE,RMSE,DSSIM,MAPE,ZNCC,SSIM
18,NSGA-II,2,-6.5220653031072615,14.37126388430911,-19.217170508390126,-40.17168118249358,142.0847871246572,4.496225062204988,-30.854574304592976,-30.79276825400404,0.18949768107430381,0.695857318767583,0.8706266273766361,0.34972154468671207,0.23131539414471577,0.6210046378513924,0.30055691062657586
19,NSGA-II,2,14.775619478688746,4.621955844481869,7.758730479941546,-10.783755464283255,130.19225534690986,0.432922912060021,-30.757749629684625,-26.418993227216298,0.22836128749219797,0.7164011305873527,0.9557432447937008,0.3230903115068787,0.14704570374150053,0.543277425015604,0.35381937698624255
20,NSGA-II,2,-5.536325986494138,14.55806187927961,-19.067445908561854,-40.380375892493205,143.8501482059191,4.496225062204988,-29.76001428935701,-33.332565025758996,0.18885880880809414,0.7013117762130867,0.8691577734982155,0.3500056376566043,0.2553742655397888,0.6222823823838117,0.2999887246867914
21,NSGA-II,2,-5.722525893411829,10.64345790956072,-9.38607864461446,-44.93428646316813,141.8115517759939,0.13248131987330458,-30.971695156476972,-6.02812535451939,0.1940252579212845,0.7133985539636769,0.8809659651116711,0.35514887994097954,0.15175134086868183,0.611949484157431,0.2897022401180409
22,NSGA-II,2,-12.214139533660932,13.481393816105118,-17.143434758754154,-27.55053502841833,153.83732012674918,1.8836993422916466,-31.440769668584203,-15.330719865709884,0.1864853205000312,0.6959874092183322,0.8636789229801342,0.352669713051126,0.26908140462806934,0.6270293589999376,0.294660573897748
23,NSGA-II,2,-6.046599067834051,10.364090482066704,-13.348726575406076,-40.69373179071549,161.2866560889899,-0.08417240478114225,-30.726650072754328,-5.45003887507614,0.20054774280644633,0.7159764529446438,0.8956511437081878,0.3598492284776671,0.12127757134880819,0.5989045143871073,0.2803015430446658
24,NSGA-II,2,-6.010645259746399,14.792372224905892,-17.22550139922209,-41.315325056650295,136.72473148752505,4.4830471484273895,-30.42570167048926,-30.79276825400404,0.1922113398410017,0.6992115585077068,0.8768382743493843,0.35012509898219935,0.22408408552202982,0.6155773203179966,0.2997498020356013
25,NSGA-II,2,-14.07861038757846,-8.414631284865257,-15.232686630179531,-25.085881780428682,131.53531075186308,6.62141545442833,-18.903388402648496,-27.308910259759056,0.31449833436593455,0.9005726491284166,1.1216030213331887,0.45554104906387055,0.11180740977253663,0.3710033312681309,0.0889179018722589
26,NSGA-II,2,-8.190605634822639,13.525512819327474,-12.022577298914948,-29.8948181563687,155.48475900880592,0.1008145224480067,-31.687588153437154,-5.419949860482662,0.19659411258578718,0.7143589640560227,0.8867786929911821,0.36464318739842905,0.129511778168011,0.6068117748284256,0.2707136252031419
27,NSGA-II,2,-8.147137486732758,14.55806187927961,-19.067445908561854,-40.380375892493205,147.5972881338109,4.55770265747279,-29.813550127733983,-33.332565025758996,0.19185673701066341,0.699045770490435,0.8760290794503659,0.3465856374408696,0.24479353117597233,0.6162865259786732,0.30682872511826076
